614266.92,1319586.92
614305.36,1319588.72
614306.07,1319581.76
614306.44,1319580.74
614306.55,1319579.65
614306.03,1319579.60
614308.03,1319559.79
614308.63,1319559.85
614311.19,1319534.53
614286.24,1319531.87
614285.35,1319532.71
614279.72,1319537.65
614278.17,1319541.15
614276.95,1319545.46
614276.24,1319549.53
614276.16,1319549.52
614272.00,1319557.27
614269.83,1319565.03
614271.30,1319569.80

614266.9198,1319586.9226
614305.3623,1319588.7220
614306.0672,1319581.7576
614306.4365,1319580.7427
614306.5472,1319579.6483
614306.0299,1319579.5960
614308.0347,1319559.7872
614308.6316,1319559.8476
614311.1938,1319534.5319
614286.2355,1319531.8688
614285.3523,1319532.7104
614279.7184,1319537.6461
614278.1742,1319541.1509
614276.9543,1319545.4616
614276.2385,1319549.5291
614276.1597,1319549.5153
614272.0024,1319557.2714
614269.8306,1319565.0333
614271.3008,1319569.8018
