613640.2741,1315422.3739
613646.3156,1315432.7105
613657.6423,1315447.1522
613662.7520,1315456.5735
613666.6216,1315461.7246
613670.7494,1315467.5090
613680.1394,1315482.1031
613694.5352,1315509.0283
613696.8385,1315524.2262
613700.4601,1315559.4206
613701.2301,1315571.4405
613701.5115,1315573.5721
613364.2948,1315640.9329
613351.2199,1315633.0456
613345.6238,1315622.9669
613335.8677,1315590.4855
613330.6601,1315572.7344
613317.6740,1315548.1613
613315.2394,1315537.0348
613640.2741,1315422.3739

24,999.69
